word_decimal	rank	phase
16416356345098908	89592	0
16416356345100346	89569	0
16416356345100348	89567	0
16416356345583674	89565	0
16416356345583796	89564	0
16416356349253686	92898	1
16416380508574936	101821	0
16416380510672056	92898	1
16416490703330352	89559	0
16416490703330358	89557	0
16416490703330362	89549	0
16416490764163120	89536	0
16416490764163130	89534	0
16416490766260272	89527	0
16416490766260278	89523	0
16416493784012858	89521	0
16416493784012860	89519	0
16416493786110006	92898	1
16416493786110012	97989	0
16416493786110134	97983	0
16416499354097200	89518	0
16416499354097210	89517	0
16416499354097296	89516	0
16416499356194352	89515	0
16416499356324976	89512	0
16416502373946938	89510	0
16416502373946940	89508	0
16416502373947036	89507	0
16416502376044092	96946	0
16416502376174716	96938	0
16416628140186672	89501	0
16416628140186678	89499	0
16416628203108400	89498	0
16416628203108410	89497	0
16416628205205552	89496	0
16416628205205558	89495	0
16416636793042480	89494	0
16416636793042490	89493	0
16416636793042576	89492	0
16416636795139632	89491	0
16416636795270256	89489	0
16427351461247034	89467	0
16427351461337146	89465	0
16427351461337266	89462	0
16427351461378106	89450	0
16427351494891696	89378	0
16427351589302326	89350	0
16427351589302330	89223	0
16451274431796406	89178	0
16451274431796916	89164	0
16451274498905776	89150	0
16451540715574456	89317	0
16451540715575354	89306	0
16451540721342518	92898	1
16451564343662646	101802	0
16451564343662806	101800	0
16451564343685782	92898	1
16451564343685846	101790	0
16451564343685848	101787	0
16451564343793876	101784	0
16451564345759798	101779	0
16451564345759802	101778	0
16451564345759926	101776	0
16451564345782934	92898	1
16451564345782966	101772	0
16451564345782968	92898	1
16451564345890874	101771	0
16451564345890996	101769	0
16451568638629942	89149	0
16451568638653078	89146	0
16451568639678518	89145	0
16451568639701654	89141	0
16451675134416016	89128	0
16451675138349104	89124	0
16451675138349110	89121	0
16451675138349136	89117	0
16451678154265756	92009	0
16451678158198838	92898	1
16451678158198844	96800	0
16451678158198876	96796	0
16451678158198966	96790	0
16451683728283184	89111	0
16451684600650806	101761	0
16451684600651062	101758	0
16451684600697526	92898	1
16451684600828596	97021	0
16451684604845110	97015	0
